wavelength_nm	intensity_arb
312.627	242.286
312.643	197.916
312.659	96.3697
312.675	205.555
312.69	207.875
312.706	197.495
312.722	163.682
312.738	178.633
312.753	337.679
312.769	171.02
312.785	97.181
312.8	248.752
312.816	494.714
312.832	179.364
312.847	72.5702
312.863	211.018
312.879	347.308
312.894	158.692
312.91	64.7346
312.926	199.803
312.941	355.808
312.957	171.891
312.973	178.745
312.988	389.759
313.004	372.504
313.02	171.842
313.035	245.008
313.051	317.872
313.066	262.266
313.082	243.225
313.097	197.273
313.113	241.354
313.129	272.298
313.144	142.437
313.16	175.937
313.175	273.182
313.191	189.77
313.206	224.23
313.222	225.019
313.238	169.457
313.253	212.806
313.269	168.794
313.284	166.087
313.3	186.393
313.315	200.141
313.331	137.75
313.346	205.853
313.362	260.332
313.377	296.779
313.393	360.784
313.408	288.523
313.423	456.328
313.439	460.484
313.454	631.856
313.47	681.041
313.485	954.008
313.501	1378.35
313.516	1153.53
313.532	1175.97
313.547	1099.13
313.562	772.386
313.578	529.154
313.593	172.544
313.609	67.3561
313.624	105.206
313.639	86.883
313.655	60.1352
313.67	149.236
313.685	151.737
313.701	99.3746
313.716	60.9654
313.732	68.3888
313.747	58.2716
313.762	83.3185
313.778	61.6529
313.793	72.404
313.808	141.943
313.824	91.0629
313.839	124.712
313.854	114.248
313.869	80.2617
313.885	113.067
313.9	130.697
313.915	132.622
313.931	114.782
313.946	112.325
313.961	117.087
313.976	98.486
313.992	60.5919
314.007	53.1086
314.022	114.873
314.037	136.922
314.053	165.006
314.068	135.862
314.083	111.878
314.098	49.0012
314.113	74.8892
314.129	132.382
314.144	115.971
314.159	68.0386
314.174	149.317
314.189	114.162
314.205	37.4602
314.22	115.075
314.235	181.99
314.25	99.4613
314.265	242.695
314.28	180.342
314.297	187.2
314.314	114.57
314.33	153.655
314.347	137.368
314.364	221.673
314.381	199.748
314.397	261.598
314.414	134.843
314.431	237.425
314.448	168.091
314.465	167.511
314.481	116.657
314.498	253.157
314.515	271.246
314.531	231.608
314.548	262.603
314.565	183.37
314.582	243.146
314.598	306.088
314.615	238.389
314.632	219.517
314.648	264.361
314.665	200.667
314.682	372.808
314.699	395.494
314.715	212.811
314.732	327.528
314.749	286.497
314.765	306.264
314.782	497.31
314.798	156.423
314.815	204.688
314.832	321.242
314.848	487.503
314.865	578.793
314.882	180.684
314.898	394.105
314.915	314.256
314.931	514.768
314.948	509.647
314.965	264.216
314.981	546.696
314.998	506.633
315.014	603.682
315.031	405.902
