system_id	region_id	source_line_id	air_wavelength_nm	einstein_a_s-1	upper_e_v_cm-1	upper_e_j_cm-1	upper_j	upper_v	lower_v	branch
n2-second-positive	n2-sps-380	97818	382.272654505	1997.75830856	33572.1225	6014.868	58	2	7	Q2
n2-second-positive	n2-sps-380	92516	382.274780598	2558.56464863	37230.366	1220.679	26	4	1	RQ21
n2-second-positive	n2-sps-380	42089	382.278389895	535.40847037	33572.1225	16281.595	97	2	7	QR23
n2-second-positive	n2-sps-380	64417	382.280004602	2324234.56855	37230.366	1316.0295	26	4	1	R3
n2-second-positive	n2-sps-380	99846	382.28300025	2951.36427892	35447.3395	3763.2905	46	3	9	Q2
n2-second-positive	n2-sps-380	174348	382.28314638	1472.24957456	35447.3395	6724.731	62	3	10	OP23
n2-second-positive	n2-sps-380	157991	382.28522875	552.545598405	37230.366	15544.9735	98	4	2	QP21
n2-second-positive	n2-sps-380	107147	382.287544956	814.681303831	33572.1225	7508.2635	65	2	7	PQ23
n2-second-positive	n2-sps-380	51346	382.289167048	714.216488875	33572.1225	12919.5815	85	2	7	SR32
n2-second-positive	n2-sps-380	139119	382.292235907	2409016.09205	37230.366	3065.685	43	4	1	P1
n2-second-positive	n2-sps-380	140359	382.296378946	309.808159581	29635.5885	15129.578	93	0	1	OP12
n2-second-positive	n2-sps-380	125729	382.299411386	2854.30215443	33572.1225	6017.223	57	2	7	Q3
n2-second-positive	n2-sps-380	27566	382.299879043	1015.43241163	37230.366	10865.6515	81	4	2	SR21
n2-second-positive	n2-sps-380	74057	382.304504531	400.731027714	37230.366	15543.6545	99	4	2	Q1
n2-second-positive	n2-sps-380	168294	382.306185226	307.516598055	29635.5885	15131.6795	92	0	1	OP23
n2-second-positive	n2-sps-380	185589	382.306696745	3194.63356572	37230.366	1930.454	32	4	1	QP32
n2-second-positive	n2-sps-380	185822	382.311373551	550.38257377	37230.366	15545.6675	97	4	2	QP32
n2-second-positive	n2-sps-380	73821	382.315027386	1916.22913055	37230.366	1922.3635	34	4	1	Q1
n2-second-positive	n2-sps-380	13971	382.316876252	2553.68631385	33572.1225	6011.842	59	2	7	QR12
n2-second-positive	n2-sps-380	127745	382.317972427	4567.95417587	35447.3395	3766.0655	45	3	9	Q3
n2-second-positive	n2-sps-380	102108	382.321516768	519.295891948	37230.366	15544.9735	98	4	2	Q2
n2-second-positive	n2-sps-380	167061	382.324403444	2408924.41741	37230.366	3069.2465	42	4	1	P2
n2-second-positive	n2-sps-380	55397	382.329796896	1002.88866825	37230.366	10866.703	80	4	2	SR32
n2-second-positive	n2-sps-380	41882	382.333831122	2510.42708908	33572.1225	6014.868	58	2	7	QR23
n2-second-positive	n2-sps-380	15987	382.335051639	3747.19584904	35447.3395	3759.729	47	3	9	QR12
n2-second-positive	n2-sps-380	25309	382.340313834	7288.06826687	35447.3395	2094.4845	34	3	9	SR21
n2-second-positive	n2-sps-380	18236	382.340796209	660.13606597	37230.366	15543.6545	99	4	2	QR12
n2-second-positive	n2-sps-380	129994	382.352256632	650.477236033	37230.366	15545.6675	97	4	2	Q3
n2-second-positive	n2-sps-380	120458	382.352673255	2535.63995727	37230.366	1225.192	25	4	1	RQ32
n2-second-positive	n2-sps-380	101873	382.358447592	4379.9495566	37230.366	1926.9135	33	4	1	Q2
n2-second-positive	n2-sps-380	43886	382.358535305	3665.08284691	35447.3395	3763.2905	46	3	9	QR23
n2-second-positive	n2-sps-380	8697	382.358871538	2333764.02895	37230.366	1214.9255	27	4	1	R1
n2-second-positive	n2-sps-380	46122	382.362402018	651.456409335	37230.366	15544.9735	98	4	2	QR23
n2-second-positive	n2-sps-380	194838	382.365976421	2408679.80762	37230.366	3071.955	41	4	1	P3
n2-second-positive	n2-sps-380	131002	382.370113749	1305724.26473	29635.5885	12985.1895	86	0	1	P1
n2-second-positive	n2-sps-380	55168	382.374945617	13149.4372287	37230.366	821.0605	20	4	1	SR32
n2-second-positive	n2-sps-380	158992	382.375303809	1304240.53644	29635.5885	12987.448	85	0	1	P2
n2-second-positive	n2-sps-380	83183	382.37646611	1299.68016784	37230.366	3065.685	43	4	1	PQ12
n2-second-positive	n2-sps-380	148480	382.377855031	1461.9167258	37230.366	4810.8255	54	4	1	OP12
n2-second-positive	n2-sps-380	137090	382.378944245	3161136.28153	35447.3395	4953.933	54	3	9	P1
n2-second-positive	n2-sps-380	186817	382.393777181	1305659.45361	29635.5885	12989.1575	84	0	1	P3
n2-second-positive	n2-sps-380	53153	382.396277474	7249.44020206	35447.3395	2098.3205	33	3	9	SR32
n2-second-positive	n2-sps-380	165044	382.399560071	3161055.47093	35447.3395	4957.013	53	3	9	P2
n2-second-positive	n2-sps-380	21252	382.402104306	2260.00983801	31630.588	5897.7205	57	1	3	SR21
n2-second-positive	n2-sps-380	176367	382.402988947	1444.36934072	37230.366	4813.61	53	4	1	OP23
n2-second-positive	n2-sps-380	90489	382.404911777	1707.73415364	35447.3395	2731.2635	39	3	9	RQ21
n2-second-positive	n2-sps-380	111180	382.405577095	1369.23852873	37230.366	3069.2465	42	4	1	PQ23
n2-second-positive	n2-sps-380	129760	382.407960561	7705.0601296	37230.366	1930.454	32	4	1	Q3
n2-second-positive	n2-sps-380	23281	382.4081799	4339.19448213	33572.1225	3830.087	46	2	6	SR21
n2-second-positive	n2-sps-380	75066	382.408326126	180.045913648	29635.5885	12985.1895	86	0	1	PQ12
n2-second-positive	n2-sps-380	19222	382.412208469	776.752205925	29635.5885	8182.579	67	0	1	SR21
n2-second-positive	n2-sps-380	36639	382.418657281	2312708.51518	37230.366	1220.679	26	4	1	R2
n2-second-positive	n2-sps-380	103111	382.418774268	183.654590782	29635.5885	12987.448	85	0	1	PQ23
n2-second-positive	n2-sps-380	18002	382.424974695	5315.19707239	37230.366	1922.3635	34	4	1	QR12
n2-second-positive	n2-sps-380	49120	382.427833686	2232.33570387	31630.588	5900.2925	56	1	3	SR32
n2-second-positive	n2-sps-380	157756	382.430904772	3257.55331785	37230.366	1816.1735	32	4	1	QP21
n2-second-positive	n2-sps-380	192833	382.430948645	3160723.90381	35447.3395	4959.368	52	3	9	P3
n2-second-positive	n2-sps-380	47102	382.431804171	766.847571012	29635.5885	8184.792	66	0	1	SR32
n2-second-positive	n2-sps-380	51137	382.444198758	4292.45091912	33572.1225	3833.114	45	2	6	SR32
n2-second-positive	n2-sps-380	90706	382.444593643	317.784726453	35447.3395	12664.908	86	3	10	RQ21
n2-second-positive	n2-sps-380	81154	382.444600956	1099.20968508	35447.3395	4953.933	54	3	9	PQ12
n2-second-positive	n2-sps-380	118443	382.450612084	1710.73116922	35447.3395	2734.588	38	3	9	RQ32
n2-second-positive	n2-sps-380	155957	382.458173796	624.266623141	35447.3395	14414.2515	92	3	10	QP21
n2-second-positive	n2-sps-380	45889	382.45973883	5187.71864714	37230.366	1926.9135	33	4	1	QR23
n2-second-positive	n2-sps-380	92515	382.461786557	2720.44234228	37230.366	1132.9915	25	4	1	RQ21
n2-second-positive	n2-sps-380	109163	382.465392073	1137.15797326	35447.3395	4957.013	53	3	9	PQ23
n2-second-positive	n2-sps-380	88671	382.465713867	226.552015871	33572.1225	14403.5	91	2	7	RQ21
n2-second-positive	n2-sps-380	6670	382.466437905	3089492.6237	35447.3395	2727.0565	40	3	9	R1
n2-second-positive	n2-sps-380	118659	382.468602721	318.491964583	35447.3395	12666.122	85	3	10	RQ32
n2-second-positive	n2-sps-380	6887	382.471155188	2506936.55757	35447.3395	12663.092	87	3	10	R1
n2-second-positive	n2-sps-380	27335	382.471528188	13604.5923312	37230.366	744.525	20	4	1	SR21
n2-second-positive	n2-sps-380	133032	382.476011553	2729104.48434	31630.588	10056.7705	76	1	4	P1
n2-second-positive	n2-sps-380	139118	382.478322757	2406017.31403	37230.366	2925.835	42	4	1	P1
n2-second-positive	n2-sps-380	64416	382.479354032	2318133.12852	37230.366	1225.192	25	4	1	R3
n2-second-positive	n2-sps-380	183800	382.480853412	619.955519853	35447.3395	14415.3355	91	3	10	QP32
n2-second-positive	n2-sps-380	71999	382.482696569	450.295584926	35447.3395	14412.575	93	3	10	Q1
n2-second-positive	n2-sps-380	116636	382.484100891	229.022320412	33572.1225	14404.868	90	2	7	RQ32
n2-second-positive	n2-sps-380	161010	382.484678714	2725562.67451	31630.588	10059.2735	75	1	4	P2
n2-second-positive	n2-sps-380	34840	382.486360993	2503556.53124	35447.3395	12664.908	86	3	10	R2
n2-second-positive	n2-sps-380	185588	382.490830077	3321.5572905	37230.366	1819.83	31	4	1	QP32
n2-second-positive	n2-sps-380	4852	382.493997265	2001250.94037	33572.1225	14401.5665	92	2	7	R1
n2-second-positive	n2-sps-380	100062	382.496710994	591.37517759	35447.3395	14414.2515	92	3	10	Q2
n2-second-positive	n2-sps-380	155741	382.497318114	2659.74503576	35447.3395	3605.896	45	3	9	QP21
n2-second-positive	n2-sps-380	34624	382.499241892	3079584.86098	35447.3395	2731.2635	39	3	9	R2
n2-second-positive	n2-sps-380	73820	382.499534484	1977.68955618	37230.366	1811.4815	33	4	1	Q1
n2-second-positive	n2-sps-380	32817	382.5041136	1998774.42806	33572.1225	14403.5	91	2	7	R2
n2-second-positive	n2-sps-380	188823	382.504918248	2728961.42824	31630.588	10061.1975	74	1	4	P3
n2-second-positive	n2-sps-380	167060	382.511253143	2405936.39124	37230.366	2929.486	41	4	1	P2
n2-second-positive	n2-sps-380	144419	382.51278935	1238.45703661	33572.1225	9156.617	73	2	7	OP12
n2-second-positive	n2-sps-380	62628	382.514208524	2502805.29711	35447.3395	12666.122	85	3	10	R3
n2-second-positive	n2-sps-380	16202	382.521238709	754.758416855	35447.3395	14412.575	93	3	10	QR12
n2-second-positive	n2-sps-380	77096	382.521297234	481.852471157	31630.588	10056.7705	76	1	4	PQ12
n2-second-positive	n2-sps-380	127960	382.523594355	751.960579454	35447.3395	14415.3355	91	3	10	Q3
n2-second-positive	n2-sps-380	60617	382.526535295	2000499.99389	33572.1225	14404.868	90	2	7	R3
