Date: 17-Jul-2018 19:09:08
Carousel: 18071714
Sample: MUSCOC17
Target: 6
Location: 1
RockType: FOIDITE
Atmosphere: EARTH
DistToTarget: 202
LocationsPerSample: 6
IntegrationsPerLocation: 6
PulsesPerIntegration: 10
LaserAttenuation: 5.00
LaserRepetitionRate: 10
IntegrationTime: 1
IntegrationsAveraged: 1
UVTriggerDelay: 0
VISTriggerDelay: 0
VNIRTriggerDelay: 0
DarkSubtracted: YES
BoxcarSmoothing: 0
PulsesDiscarded: 10
SpectColumnsDiscarded: 1
SaturatedIntegrations: NONE
wave,i1,i2,i3,i4,i5
254.820000,31504950758.479588,42516389858.530708,32881380645.985981,49398539296.062668,44810439671.041367
254.871000,36672956774.483864,29921031558.588428,33972186688.125683,50626935554.001083,46125652076.737457
254.923000,42740017812.366631,31615252330.616032,31615252330.616032,47446649362.338043,44023644598.722466
254.977000,36180909414.457138,53565576361.034088,37518191487.270760,58914704652.288536,52674054979.158356
255.029000,36410267467.122551,37740998054.753433,38184574917.297058,57701956869.216553,47499689030.713181
255.081000,32493068568.011829,35119753751.653511,33806411159.832668,52630988309.264687,48253179669.861893
255.133000,43018394153.669800,37475275083.207947,42592000379.018890,56236601167.848076,48561513224.131660
255.186000,38523327429.164131,39380724515.686485,24804974044.806454,43667709948.298264,41095518688.731194
255.239000,28851367413.372002,29742147196.289146,31969096653.582008,41767674265.670609,43549233831.504898
255.290000,20906527752.768684,27702329099.041130,30250754603.893295,40019719039.159935,42143406959.870079
255.343000,36934819069.283157,33094356495.968731,32667638432.267136,38214973260.387962,37788255196.686363
255.396000,24884302137.281059,39665577606.826004,28915559083.520592,43696834553.065529,44592669430.007660
255.447000,25093198485.505516,29793721948.258682,16546792189.590666,30221042263.054420,34921565725.807594
255.500000,28190167284.199413,32436384950.438652,28614789050.823341,36257980850.053970,33710250250.310429
255.553000,39314970728.363342,36254305722.633484,34505354290.787842,38440495012.440529,34068116432.826439
255.605000,27136121777.626324,32374193541.672157,25826603836.614864,28882145698.974937,36739253345.043686
255.657000,33259089660.396568,34124523146.319427,31528222688.550850,31095505945.589420,35855390118.165154
255.709000,33637024946.204605,22632391828.536816,22209136708.626518,33213769826.294300,31520749346.653107
255.762000,31995604066.316605,30721912492.721989,30297348634.857113,33693859497.776089,34967551071.370712
255.815000,26833724257.921513,36946752790.265160,31230693185.027447,40024631039.239319,32110086970.448635
255.866000,23909314389.171211,22653377641.101906,19304212979.583759,29770352546.827976,33956808373.725658
255.919000,23304457400.874195,31578229259.172726,25786588958.363754,27027654737.108540,35301426595.407066
255.972000,36337604348.178886,32518796755.311562,27851365252.918163,39307788031.520134,38034852167.231026
256.024000,45215961186.046753,35308891627.421005,24540337759.349533,42200766102.986740,45215961186.046753
256.075000,24192465379.131805,32730982571.766556,27445233833.468849,33544174685.350822,31511194401.390160
256.129000,35101641092.106117,28303206233.648437,28728108412.302044,28728108412.302044,32977130198.838089
256.181000,34642140644.767395,36364083431.390282,23879998228.374344,51861568510.996277,44973797364.504730
256.233000,32427499940.230045,39279385474.189148,34140471323.719814,45274785316.403358,45274785316.403358
256.285000,43535218246.456146,29812788085.461216,34802762689.459381,57257648407.451088,47277699199.454765
256.338000,43793117429.149734,36164638909.233330,34469421460.363022,61592900642.288002,52269204673.501289
256.390000,42957000145.238640,46389745994.802666,44244279838.825142,61408009086.645241,49822491844.366684
