element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Fe	2	"200.42293"	"0.00008"	"200.422902"	"0.000010"	"700"	""		"7.12826481"	"13.3123923"	"3d5.4s2"	"d 4P"	"3/2"	"3d5.(2D1).4s.4p.(3P*)"	"4D*"	"5/2"	4	6		""	"L18349c139"	
Mn	2	"200.423"	"0.0015"	"200.42432"	"0.00016"	"1"	""		"4.073782"	"10.257866"	"3d5.(4D).4s"	"b 5D"	"3"	"3d5.(4F).4p"	"x 5D*"	"2"	7	5		""	"L562"	
Cr	2	"200.42580"	"0.00004"	"200.425806"	"0.000013"	"12"	""		"3.10490646"	"9.2889444"	"3d5"	"b 4D"	"3/2"	"3d4.(3D).4p"	"x 4P*"	"1/2"	4	2		""	"L18847"	
Cr	2	"200.43084"	"0.00010"	"200.430934"	"0.000007"	"4"	""		"2.54388199"	"8.72776170"	"3d5"	"a 4G"	"7/2"	"3d4.(3G).4p"	"y 2H*"	"9/2"	8	10		""	"L18847"	
Fe	2	"200.43221"	"0.00012"	"200.432106"	"0.000010"	"500"	"2.6e+07"	E	"7.1388229"	"13.3226665"	"3d5.4s2"	"d 4P"	"1/2"	"3d5.(2D3).4s.4p.(3P*)"	"4D*"	"1/2"	2	2		"T6892c83"	"L18349c139"	
Cr	2	"200.43685"	"0.00003"	"200.436872"	"0.000007"	"23"	""		"2.54406517"	"8.72776170"	"3d5"	"a 4G"	"9/2"	"3d4.(3G).4p"	"y 2H*"	"9/2"	10	10		""	"L18847"	
Fe	2	"200.43840"	"0.00005"	"200.438424"	"0.000010"	"800"	"4.0e+06"	D	"7.4725712"	"13.6562198"	"3d5.4s2"	"c 4D"	"7/2"	"3d6.(3F2).5p"	"4F*"	"7/2"	8	8		"T6892c83"	"L18349c139"	
Fe	2	"200.4441"	"0.0005"	"200.443312"	"0.000013"	"310d?"	""		"7.2736817"	"13.4571796"	"3d6.(1G1).4s"	"d 2G"	"7/2"	"3d5.(2F1).4s.4p.(3P*)"	"4F*"	"5/2"	8	6		""	"L18349c143"	
Mn	2	"200.456"	"0.0015"	"200.45458"	"0.00024"	"60"	""		"4.823218"	"11.006369"	"3d6"	"a 1G"	"4"	"3d5.(a 2G).4p"	"3G*"	"5"	9	11		""	"L562"	
Hg	2	"200.4667"	"0.0003"	"200.46684"	"0.00011"	"45"	"5.2e+07"		"11.8162072"	"17.9989795"	"5d9.6s.6p"	"(2D<5/2>,3P<2>)*"	"5/2"	"5d9.6s.6d"	"[(2D<5/2>,1/2)<3>,5/2]"	"5/2"	6	6		"T7226"	"L11760"	
Ne	2	"200.4827"	"0.0010"	"200.482847"	"0.000013"	"60"	""		"31.36223939"	"37.5445181"	"2s2.2p4.(3P).3p"	"4S*"	"3/2"	"2s2.2p4.(3P).4d"	"4P"	"3/2"	4	4		""	"L1406"	
Ar	2	"200.49162"	"0.00002"	"200.491595"	"0.000005"	"17"	""		"19.49453389"	"25.67654286"	"3s2.3p4.(3P).4p"	"4D*"	"7/2"	"3s2.3p4.(3P).7s"	"4P"	"5/2"	8	6		""	"L11520"	
Cr	1	"200.494"	"0.005"	"200.49570"	"0.00016"	"8"	""		"1.03000806"	"7.211891"	"3d4.4s2"	"a 5D"	"4"	"3d5.(2F1).4p"	"s 3F*"	"4"	9	9		""	"L808"	
